uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment
762,The Call of the Wild,1,0,https://www.youtube.com/watch?v=5P8R2zAhEwg,The Call of the Wild | Official Trailer | 20th Century Studios,20th Century Studios,1,,-93,11/20/2019,10807617,97567,5679,1,1,1,1,1
763,The Other Woman,1,0,https://www.youtube.com/watch?v=BlHMHLuJWbo,The Other Woman | Official Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-126,12/20/2013,3634820,7613,327,1,1,1,1,1
764,Predators,1,0,https://www.youtube.com/watch?v=N2jJOy8rzog,Predators - Official Trailer (HD),PredatorsTheMovie,1,,-112,3/19/2010,1976419,8910,873,1,1,1,1,1
765,Zombieland,1,0,https://www.youtube.com/watch?v=8m9EVP8X7N8,Zombieland Official Trailer #1,Sony Pictures Entertainment,1,,-100,6/24/2009,7557623,40719,1527,1,1,1,1,1
766,10 Cloverfield Lane,1,0,https://www.youtube.com/watch?v=yQy-ANhnUpE,10 Cloverfield Lane Trailer (2016) - Paramount Pictures,Paramount Pictures,1,,-56,1/15/2016,11131646,26567,3955,1,1,1,1,1
768,The Accountant,1,0,https://www.youtube.com/watch?v=aNGhnNMSopI,The Accountant - "Who Is The Accountant?" Trailer [HD],Warner Bros. Pictures,1,,-155,5/12/2016,3417690,10721,1116,1,1,1,1,1
771,The Butler,1,0,https://www.youtube.com/watch?v=wi6cVbhqLIM,Exklusiv: DER BUTLER Trailer Deutsch German | 2013 Official Oprah Winfrey [HD],KinoCheck,1,,-10,8/6/2013,755114,3150,175,1,1,1,1,1
772,The Predator,2,0,https://www.youtube.com/watch?v=WaG1KZqrLvM,The Predator | Official Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-80,6/26/2018,14758376,107959,12896,0,0,1,1,1
772,The Predator,2,1,https://www.youtube.com/watch?v=50_Ala5BKBo,The Predator | Final Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-14,8/31/2018,8792989,75337,11472,1,1,0,0,0
774,Knowing,1,0,https://www.youtube.com/watch?v=uHw8URgDvxM,KNOWING Trailer,KnowingMovie09,1,,-91,12/19/2008,4015266,14463,2062,1,1,1,1,1
