uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment,invalid_trailer
8,The Lion King,2,1,https://www.youtube.com/watch?v=7TavVZMewpY,The Lion King Official Trailer,Walt Disney Studios,1,0,-100,4/10/2019,73631356,777711,TO-DO,1,1,0,1,TO-DO,1
9,Avengers: Age of Ultron,3,0,https://www.youtube.com/watch?v=tmeOjFno6Do,Marvel's "Avengers: Age of Ultron" - Teaser Trailer (OFFICIAL),Marvel Entertainment,0,1,-191,10/22/2014,92851416,737223,TO-DO,0,0,1,1,TO-DO,1
9,Avengers: Age of Ultron,3,1,https://www.youtube.com/watch?v=JAUoeqvedMo,Marvel's Avengers: Age of Ultron - Trailer 3,Marvel Entertainment,1,0,-58,3/4/2015,47165812,229487,TO-DO,1,0,0,0,TO-DO,1
9,Avengers: Age of Ultron,3,2,https://www.youtube.com/watch?v=MZoO8QVMxkk,New Avengers Trailer Arrives - Marvel's Avengers: Age of Ultron Trailer 2,Marvel Entertainment,1,0,-109,1/12/2015,43884838,211746,TO-DO,0,1,0,0,TO-DO,1
10,Doctor Strange in the Multiverse of Madness,4,0,https://www.youtube.com/watch?v=aWzlQ2N6qqg,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,Marvel Entertainment,1,0,-82,2/13/2022,61941622,2116241,TO-DO,0,0,1,1,TO-DO,1
10,Doctor Strange in the Multiverse of Madness,4,1,https://www.youtube.com/watch?v=Rt_UqUm38BI,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,Marvel Entertainment,0,1,-135,12/22/2021,41960821,1703789,TO-DO,0,0,0,0,TO-DO,1
10,Doctor Strange in the Multiverse of Madness,4,2,https://www.youtube.com/watch?v=NLTYw1s4e-8,Marvel Studios' Doctor Strange in the Multiverse of Madness | Dream,Marvel Entertainment,1,0,-30,4/6/2022,8830676,360563,TO-DO,0,0,0,0,TO-DO,1
10,Doctor Strange in the Multiverse of Madness,4,3,https://www.youtube.com/watch?v=Rf8LAYJSOL8,Marvel Studios’ Doctor Strange in the Multiverse of Madness | Final Trailer,Marvel Entertainment,1,0,-2,5/4/2022,5895413,225474,TO-DO,1,1,0,0,TO-DO,1
11,Incredibles 2,2,0,https://www.youtube.com/watch?v=i5qOzqD9Rms,Incredibles 2 Official Trailer,Pixar,1,0,-63,4/13/2018,164171875,486218,TO-DO,1,0,0,1,TO-DO,1
11,Incredibles 2,2,1,https://www.youtube.com/watch?v=ZJDMWVZta3M,Incredibles 2 Official Teaser Trailer,Pixar,0,1,-209,11/18/2017,90029921,521597,TO-DO,0,1,1,0,TO-DO,1
