uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
33,The Twilight Saga: Breaking Dawn - Part 1,https://www.youtube.com/watch?v=PQNLfo-SOR4,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Trailer,The Twilight Saga,0.88,1,1,,-66,0,0
33,The Twilight Saga: Breaking Dawn - Part 1,https://www.youtube.com/watch?v=sIpeBi6SG4A,THE TWILIGHT SAGA: BREAKING DAWN Part 1 - Teaser Trailer,The Twilight Saga,0.88,2,,1,-166,0,0
,,,,,,,,,,,
35,Finding Dory,https://www.youtube.com/watch?v=JhvrQeY3doI,Finding Dory Official US Trailer,Pixar,1.0,1,1,,-107,0,0
35,Finding Dory,https://www.youtube.com/watch?v=iG0P6bjyUNI,Finding Dory - Official US Teaser Trailer,Pixar,1.0,2,,1,-220,0,0
,,,,,,,,,,,
38,Deadpool,https://www.youtube.com/watch?v=ONHBaC-pfsk,Deadpool | Trailer [HD] | 20th Century FOX,20th Century Studios,0.67,1,1,,-192,0,0
38,Deadpool,https://www.youtube.com/watch?v=9vN6DHB6bJc,Deadpool | Official Trailer 2 [HD] | 20th Century FOX,20th Century Studios,1.0,2,1,,-49,0,0
,,,,,,,,,,,
39,Frozen II,https://www.youtube.com/watch?v=Zi4LMpSDccc,Frozen 2 Official Trailer,Walt Disney Animation Studios,0.75,1,1,,-164,0,0
39,Frozen II,https://www.youtube.com/watch?v=eSLe4HuKuK0,Frozen 2 | Official Teaser Trailer,Walt Disney Animation Studios,0.75,2,,1,-282,0,0
39,Frozen II,https://www.youtube.com/watch?v=bwzLiQZDw2I,Frozen 2 | Official Trailer 2,Walt Disney Animation Studios,0.75,3,1,,-60,0,0
39,Frozen II,https://www.youtube.com/watch?v=vSKlICmmi98,Frozen 2 | "Into The Unknown" Special Look,Walt Disney Animation Studios,0.25,4,,,-53,0,0
,,,,,,,,,,,
42,Deadpool 2,https://www.youtube.com/watch?v=D86RtevtfrA,Deadpool 2 | The Trailer,20th Century Studios,0.67,1,1,,-57,0,0
