movie_name,video_url,video_title,channel,score,id,official_trailer,known_channels_used,official,teaser
Spider-Man: Homecoming,https://www.youtube.com/watch?v=xEvV3OsE2WM,SPIDER-MAN: HOMECOMING - Official Trailer #3 (HD),Sony Pictures Entertainment,1.0,4,1,1,1,
Spider-Man: Homecoming,https://www.youtube.com/watch?v=39udgGPyYMg,Spider-Man: Homecoming - Official Trailer 2 [HD],Marvel Entertainment,1.0,5,1,1,,
,,,,,,,,,
Toy Story 3,https://www.youtube.com/watch?v=JcpWXaA2qeg,Toy Story 3: Trailer,Walt Disney Studios,0.75,1,1,1,1,
Toy Story 3,https://www.youtube.com/watch?v=ZZv1vki4ou4,Toy Story 3 - HD Trailer,Walt Disney Studios,0.75,2,1,1,1,
Toy Story 3,https://www.youtube.com/watch?v=TNMpa5yBf5o,Toy Story 3: Trailer 2,Walt Disney Studios,0.75,3,1,1,1,
Toy Story 3,https://www.youtube.com/watch?v=6c3K7LhA9Yc,Toy Story 3 -- Trailer #2 (Official!),Pixar,1.0,4,1,1,1,
Toy Story 3,https://www.youtube.com/watch?v=2BlMNH1QTeE,Toy Story 3 Official Trailer [HD],Pixar,1.0,5,1,1,1,
,,,,,,,,,
Alice in Wonderland,https://www.youtube.com/watch?v=pMiCJefpn9Q,Alice in Wonderland: Official Trailer #2,Walt Disney Studios,1.0,1,1,1,1,
Alice in Wonderland,https://www.youtube.com/watch?v=LjMkNrX60mA,Alice in Wonderland Teaser 1,Walt Disney Studios,0.6,2,0,1,,1
,,,,,,,,,
Pirates of the Caribbean: At World's End,https://www.youtube.com/watch?v=0op_XllRaAw,Pirates of the Caribbean: At World's End Theatrical Trailer,Tonni C,0.89,1,1,0,,
,,,,,,,,,
It,https://www.youtube.com/watch?v=xKJmEC5ieOk,IT - Official Trailer 1,Warner Bros. Pictures,1.0,1,1,1,1,
It,https://www.youtube.com/watch?v=FnCdOQsX5kc,IT - Official Teaser Trailer,Warner Bros. Pictures,1.0,2,1,1,,1
,,,,,,,,,
Indiana Jones and the Kingdom of the Crystal Skull,https://www.youtube.com/watch?v=gQT5k8qsI34,Indiana Jones 4 - Kingdom of the Crystal Skull Trailer #2 HD,IndianaJonesSite,0.82,1,1,0,,
Indiana Jones and the Kingdom of the Crystal Skull,https://www.youtube.com/watch?v=wNvWOALp3Ds,Indiana Jones and the Kingdom of the Crystal Skull teaser HQ,iAmRipper,0.82,2,1,0,,
,,,,,,,,,
The Hunger Games: Mockingjay - Part 1,https://www.youtube.com/watch?v=IXshQ5mv1K8,The Hunger Games: Mockingjay Part 1 (Jennifer Lawrence) Final Trailer – “Burn”,The Hunger Games,0.86,1,1,1,1,
The Hunger Games: Mockingjay - Part 1,https://www.youtube.com/watch?v=C_Tsj_wTJkQ,The Hunger Games: Mockingjay Part 1 – “The Mockingjay Lives” Official Trailer,The Hunger Games,1.0,2,1,1,1,
,,,,,,,,,
Thor: Ragnarok,https://www.youtube.com/watch?v=ue80QwXMRHg,Thor: Ragnarok Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Thor: Ragnarok,https://www.youtube.com/watch?v=v7MGUNV8MxU,Thor: Ragnarok Teaser Trailer [HD],Marvel Entertainment,0.75,2,1,1,,1
,,,,,,,,,
Toy Story 4,https://www.youtube.com/watch?v=wmiIUN-7qhE,Toy Story 4 | Official Trailer,Pixar,1.0,1,1,1,1,
Toy Story 4,https://www.youtube.com/watch?v=LDXYRzerjzU,Toy Story 4 | Official Teaser Trailer,Pixar,1.0,2,1,1,,1
Toy Story 4,https://www.youtube.com/watch?v=Pl9JS8-gnWQ,Toy Story 4 | Official Trailer 2,Pixar,1.0,3,1,1,1,
,,,,,,,,,
