movie_name,video_url,video_title,channel
Black Panther,https://www.youtube.com/watch?v=_Z3QKkl1WyM,Marvel Studios’ Black Panther: Wakanda Forever | Official Trailer,Marvel Entertainment
Black Panther,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment
Black Panther,https://www.youtube.com/watch?v=RlOB3UALvrQ,Marvel Studios’ Black Panther: Wakanda Forever | Official Teaser,Marvel Entertainment
Black Panther,https://www.youtube.com/watch?v=dxWvtMOGAhw,Black Panther Teaser Trailer [HD],Marvel Entertainment
Black Panther,https://www.youtube.com/watch?v=ph9_oITIefE,Marvel Studios' Black Panther - Official Trailer,Marvel Australia & New Zealand
Black Panther,https://www.youtube.com/watch?v=JK-wAfAvJ0g,Black Panther de Marvel | Tráiler oficial en español | HD,Marvel España
Black Panther,https://www.youtube.com/watch?v=9vFWnbocU7E,Black Panther: Wakanda Forever Trailer #1 (2022),Rotten Tomatoes Trailers
Black Panther,https://www.youtube.com/watch?v=BPjbiZQmBI4,#PanteraNegra: Wakanda Por Siempre | Tráiler Oficial | Subtitulado,Marvel Latinoamérica Oficial
Black Panther,https://www.youtube.com/watch?v=JcIye2DaZwI,Pantera Negra de Marvel Studios – Nuevo Tráiler,Marvel Latinoamérica Oficial
Black Panther,https://www.youtube.com/watch?v=X_-1Wl-TiW0,BLACK PANTHER: WAKANDA FOREVER OFFICIAL TEASER TRAILER REACTION! | SZN 3 REACTS #26,Szn3
,,,,
Jurassic World: Dominion,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures
Jurassic World: Dominion,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures
Jurassic World: Dominion,https://www.youtube.com/watch?v=8Dg4dbKGgnY,Jurassic World Dominion Official Movie Trailer 2 Toy Action Figures Jurassic Toys AdventureFun!,AdventureFun!
Jurassic World: Dominion,https://www.youtube.com/watch?v=qehG9dKVDG4,JURASSIC WORLD 3 DOMINIO Tráiler Español Latino Subtitulado (2022),SensaCine TRAILERS
Jurassic World: Dominion,https://www.youtube.com/watch?v=EVKhNMNSoqI,Jurassic World Dominion : Minecraft Trailer,UriKato
Jurassic World: Dominion,https://www.youtube.com/watch?v=uYmHJTDsxik,♪ JURASSIC WORLD DOMINION THE MUSICAL - Animated Song,LHUGUENY
Jurassic World: Dominion,https://www.youtube.com/watch?v=NkEU6fC_nhY,The Prologue - Jurassic World Dominion,Jurassic World
Jurassic World: Dominion,https://www.youtube.com/watch?v=sQUWFt35UTg,Jurassic Domination - Official Trailer,The Asylum - Official Trailers
Jurassic World: Dominion,https://www.youtube.com/watch?v=9m9yRauMJIQ,JURASSIC WORLD: DOMINION – Tráiler Oficial (Universal Pictures) HD,Universal Spain
Jurassic World: Dominion,https://www.youtube.com/watch?v=RJ4b1ZQxPmE,JURASSIC WORLD: DOMINION - Tráiler Oficial 2 (Universal Pictures) HD,Universal Spain
,,,,
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=aWzlQ2N6qqg,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,Marvel Entertainment
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=Rt_UqUm38BI,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,Marvel Entertainment
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=Rf8LAYJSOL8,Marvel Studios’ Doctor Strange in the Multiverse of Madness | Final Trailer,Marvel Entertainment
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=VEB27wrlK6U,DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS {SPOILERS}: Audience Reactions | May 5 2022,Audience Reactions
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=24UAWtIEGIg,Doctor Strange in the Multiverse of Madness - Extended Preview (2022) | Vudu,Vudu
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=D9AzGVmMVpk,DOCTOR STRANGE 2 EN EL MULTIVERSO DE LA LOCURA Tráiler 2 Español Latino (2022),SensaCine TRAILERS
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=NLTYw1s4e-8,Marvel Studios' Doctor Strange in the Multiverse of Madness | Dream,Marvel Entertainment
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=8bpZg8V3Onk,Doctor Strange in the Multiverse of Madness - NEW FINAL TRAILER (2022) Marvel Studios (HD),Screen Culture
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=KREBGtEeW9U,Doctor Strange en el Multiverso de la Locura | Tráiler Oficial | Doblado,Marvel Latinoamérica Oficial
Doctor Strange in the Multiverse of Madness,https://www.youtube.com/watch?v=7HnHnhLPDG0,Doctor Strange en el Multiverso de la Locura | Teaser Oficial | Doblado,Marvel Latinoamérica Oficial
,,,,
Jurassic World,https://www.youtube.com/watch?v=RFinNxS5KN4,Jurassic World - Official Trailer (HD),Universal Pictures
Jurassic World,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures
Jurassic World,https://www.youtube.com/watch?v=CHapoKRJQPk,Evolution Jurassic park 1993 / 2022 Trailers,CANAL DRYOSSAURO
Jurassic World,https://www.youtube.com/watch?v=zutvKxIgJ5s,JURASSIC WORLD 3: Dominion All Clips & Trailer (2022),KinoCheck.com
Jurassic World,https://www.youtube.com/watch?v=Z82UQapqkDE,All Jurassic Park Movie trailers (1993-2022) (Updated),The Jurassic Channel
Jurassic World,https://www.youtube.com/watch?v=aJJrkyHas78,Jurassic World - Official Global Trailer (HD),Universal Pictures
Jurassic World,https://www.youtube.com/watch?v=vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],Universal Pictures
Jurassic World,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures
Jurassic World,https://www.youtube.com/watch?v=qehG9dKVDG4,JURASSIC WORLD 3 DOMINIO Tráiler Español Latino Subtitulado (2022),SensaCine TRAILERS
Jurassic World,https://www.youtube.com/watch?v=uXQRVZzeEmQ,JURASSIC WORLD - Trailer ufficiale,Universal Pictures International Italy
,,,,
Frozen II,https://www.youtube.com/watch?v=Zi4LMpSDccc,Frozen 2 Official Trailer,Walt Disney Animation Studios
Frozen II,https://www.youtube.com/watch?v=eSLe4HuKuK0,Frozen 2 | Official Teaser Trailer,Walt Disney Animation Studios
Frozen II,https://www.youtube.com/watch?v=1ZVRCat2vyQ,Honest Trailers | Frozen 2,Screen Junkies
Frozen II,https://www.youtube.com/watch?v=gIOyB9ZXn8s,Idina Menzel AURORA - Into the Unknown (From "Frozen 2"),DisneyMusicVEVO
Frozen II,https://www.youtube.com/watch?v=bwzLiQZDw2I,Frozen 2 | Official Trailer 2,Walt Disney Animation Studios
Frozen II,https://www.youtube.com/watch?v=R8TR3cGKees,FROZEN 2 Trailer Español (2019),FilmSelect Español
Frozen II,https://www.youtube.com/watch?v=suVQt0pfOLc,FROZEN 2 Trailer (2019),FilmSelect Trailer
Frozen II,https://www.youtube.com/watch?v=MrvnCTpMFkg,Frozen 2 de Disney – Tráiler oficial #1,Disney Studios LA
Frozen II,https://www.youtube.com/watch?v=VXxt5mRiGYw,Frozen 2 de Disney - Tráiler oficial (subtitulado),Disney Studios LA
Frozen II,https://www.youtube.com/watch?v=xX0Tp_5E168,Frozen 2 | Official Teaser Trailer | MTV Movies,MTV UK
,,,,
Iron Man 3,https://www.youtube.com/watch?v=bKWvs_yCT6c,Iron Man 3: Tráiler Oficial Subtitulado -- Latinoamérica,Marvel Latinoamérica Oficial
Iron Man 3,https://www.youtube.com/watch?v=Ke1Y3P9D0Bc,Iron Man 3 -- Official Trailer UK Marvel | HD,Marvel UK
